goos: linux
goarch: amd64
pkg: github.com/molulan/bsc-bls/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500H
BenchmarkMultisigVerification/individual_verification_of_75_signatures-2        	       4	 284441889 ns/op	  240000 B/op	    2850 allocs/op
BenchmarkMultisigVerification/individual_verification_of_75_signatures-2        	       5	 241971314 ns/op	  240000 B/op	    2850 allocs/op
BenchmarkMultisigVerification/individual_verification_of_75_signatures-2        	       6	 239731032 ns/op	  240000 B/op	    2850 allocs/op
BenchmarkMultisigVerification/individual_verification_of_75_signatures-2        	       6	 278943524 ns/op	  240000 B/op	    2850 allocs/op
BenchmarkMultisigVerification/individual_verification_of_75_signatures-2        	       4	 302365476 ns/op	  240000 B/op	    2850 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_75_signatures-2         	       9	 134200128 ns/op	  197455 B/op	    2776 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_75_signatures-2         	       8	 145411736 ns/op	  197398 B/op	    2776 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_75_signatures-2         	       7	 238104849 ns/op	  197376 B/op	    2776 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_75_signatures-2         	       8	 131077292 ns/op	  197376 B/op	    2776 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_75_signatures-2         	       7	 156049540 ns/op	  197376 B/op	    2776 allocs/op
BenchmarkMultisigVerification/individual_verification_of_100_signatures-2       	       4	 354293648 ns/op	  320000 B/op	    3800 allocs/op
BenchmarkMultisigVerification/individual_verification_of_100_signatures-2       	       4	 323508040 ns/op	  320044 B/op	    3800 allocs/op
BenchmarkMultisigVerification/individual_verification_of_100_signatures-2       	       3	 394498452 ns/op	  320058 B/op	    3800 allocs/op
BenchmarkMultisigVerification/individual_verification_of_100_signatures-2       	       2	 511966871 ns/op	  320000 B/op	    3800 allocs/op
BenchmarkMultisigVerification/individual_verification_of_100_signatures-2       	       2	 511808522 ns/op	  320000 B/op	    3800 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_100_signatures-2        	       7	 161251497 ns/op	  262976 B/op	    3701 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_100_signatures-2        	       8	 152037598 ns/op	  262998 B/op	    3701 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_100_signatures-2        	       8	 161182806 ns/op	  262976 B/op	    3701 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_100_signatures-2        	       7	 180424517 ns/op	  262976 B/op	    3701 allocs/op
BenchmarkMultisigVerification/aggregate_verification_of_100_signatures-2        	       7	 156557653 ns/op	  263001 B/op	    3701 allocs/op
PASS
ok  	github.com/molulan/bsc-bls/bench	129.046s
