goos: linux
goarch: amd64
pkg: github.com/molulan/bsc-bls/bench
cpu: 12th Gen Intel(R) Core(TM) i5-12500H
BenchmarkSinglesigVerification/singlesig_verification_of_25_signatures-2        	      19	  80409046 ns/op	   60400 B/op	     750 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_25_signatures-2         	      12	  96483735 ns/op	   80000 B/op	     950 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_25_signatures-2         	      19	 101785800 ns/op	   80000 B/op	     950 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_25_signatures-2         	      12	  88566461 ns/op	   80000 B/op	     950 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_25_signatures-2         	       8	 130943940 ns/op	   80002 B/op	     950 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_25_signatures-2         	      16	  82741194 ns/op	   80011 B/op	     950 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_25_signatures-2        	      36	  62596732 ns/op	   66180 B/op	     926 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_25_signatures-2        	      33	  37317762 ns/op	   66176 B/op	     926 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_25_signatures-2        	      32	  49121613 ns/op	   66185 B/op	     926 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_25_signatures-2        	      22	  54779137 ns/op	   66176 B/op	     926 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_25_signatures-2        	      33	  53659591 ns/op	   66181 B/op	     926 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_50_signatures-2        	       7	 195684363 ns/op	  120800 B/op	    1500 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_50_signatures-2        	       4	 259340184 ns/op	  120800 B/op	    1500 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_50_signatures-2        	       6	 189546473 ns/op	  120849 B/op	    1500 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_50_signatures-2        	       5	 200318582 ns/op	  120835 B/op	    1500 allocs/op
BenchmarkSinglesigVerification/singlesig_verification_of_50_signatures-2        	       9	 142490024 ns/op	  120819 B/op	    1500 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_50_signatures-2         	       8	 145705618 ns/op	  160000 B/op	    1900 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_50_signatures-2         	       9	 172171737 ns/op	  160000 B/op	    1900 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_50_signatures-2         	       7	 167409172 ns/op	  160000 B/op	    1900 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_50_signatures-2         	       7	 159303909 ns/op	  160000 B/op	    1900 allocs/op
BenchmarkSinglesigVerification/multisig_verification_of_50_signatures-2         	       7	 183193722 ns/op	  160025 B/op	    1900 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_50_signatures-2        	      18	  88064440 ns/op	  131785 B/op	    1851 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_50_signatures-2        	      15	  86783797 ns/op	  131776 B/op	    1851 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_50_signatures-2        	      16	  82731046 ns/op	  131794 B/op	    1851 allocs/op
BenchmarkSinglesigVerification/aggregate_verification_of_50_signatures-2        	      18	  82117035 ns/op	  131776 B/op	    1851 allocs/op
